Problem Name,Problem ID,Tags,Time Limit,Memory Limit,Description
"Sakurako, Kosuke, and the Permutation",2033E,"brute force, data structures, dfs and similar, dsu, graphs, greedy, math",time limit per test,memory limit per test,"E. Sakurako, Kosuke, and the Permutationtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output"
Kousuke's Assignment,2033D,"data structures, dp, dsu, greedy, math",time limit per test,memory limit per test,D. Kousuke's Assignmenttime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako's Field Trip,2033C,"dp, greedy, two pointers",time limit per test,memory limit per test,C. Sakurako's Field Triptime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako and Water,2033B,"brute force, constructive algorithms, greedy",time limit per test,memory limit per test,B. Sakurako and Watertime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako and Kosuke,2033A,"constructive algorithms, implementation, math",time limit per test,memory limit per test,A. Sakurako and Kosuketime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
The Destruction of the Universe (Hard Version),2030G2,"combinatorics, math",time limit per test,memory limit per test,G2. The Destruction of the Universe (Hard Version)time limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
The Destruction of the Universe (Easy Version),2030G1,"combinatorics, greedy, math",time limit per test,memory limit per test,G1. The Destruction of the Universe (Easy Version)time limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Orangutan Approved Subarrays,2030F,"binary search, data structures, dp, greedy, implementation, two pointers",time limit per test,memory limit per test,F. Orangutan Approved Subarraystime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
MEXimize the Score,2030E,"combinatorics, data structures, dp, greedy, implementation, math",time limit per test,memory limit per test,E. MEXimize the Scoretime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
QED's Favorite Permutation,2030D,"data structures, implementation, sortings",time limit per test,memory limit per test,D. QED's Favorite Permutationtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
A TRUE Battle,2030C,"brute force, games, greedy",time limit per test,memory limit per test,C. A TRUE Battletime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Minimise Oneness,2030B,"combinatorics, constructive algorithms, games, math",time limit per test,memory limit per test,B. Minimise Onenesstime limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
A Gift From Orangutan,2030A,"constructive algorithms, greedy, math, sortings",time limit per test,memory limit per test,A. A Gift From Orangutantime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Bit Game (Hard Version),2027E2,"bitmasks, dp, math",time limit per test,memory limit per test,E2. Bit Game (Hard Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Bit Game (Easy Version),2027E1,"bitmasks, brute force, games, math",time limit per test,memory limit per test,E1. Bit Game (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
The Endspeaker (Hard Version),2027D2,"binary search, data structures, dp, greedy, implementation, two pointers",time limit per test,memory limit per test,D2. The Endspeaker (Hard Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
The Endspeaker (Easy Version),2027D1,"binary search, dp, graphs, greedy, implementation, two pointers",time limit per test,memory limit per test,D1. The Endspeaker (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Add Zeros,2027C,"brute force, data structures, dfs and similar, dp, graphs, greedy",time limit per test,memory limit per test,C. Add Zerostime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Stalin Sort,2027B,"brute force, greedy",time limit per test,memory limit per test,B. Stalin Sorttime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Rectangle Arrangement,2027A,"geometry, implementation, math",time limit per test,memory limit per test,A. Rectangle Arrangementtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Bermart Ice Cream,2026F,"data structures, dfs and similar, divide and conquer, dp, implementation, trees",time limit per test,memory limit per test,F. Bermart Ice Creamtime limit per test2 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Best Subsequence,2026E,"bitmasks, brute force, dfs and similar, flows, graph matchings, graphs",time limit per test,memory limit per test,E. Best Subsequencetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sums of Segments,2026D,"binary search, data structures, dp, implementation, math",time limit per test,memory limit per test,D. Sums of Segmentstime limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Action Figures,2026C,"data structures, greedy",time limit per test,memory limit per test,C. Action Figurestime limit per test2.5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Black Cells,2026B,"brute force, greedy",time limit per test,memory limit per test,B. Black Cellstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Perpendicular Segments,2026A,"brute force, geometry, math",time limit per test,memory limit per test,A. Perpendicular Segmentstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Variable Damage,2025G,"data structures, flows",time limit per test,memory limit per test,G. Variable Damagetime limit per test5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Choose Your Queries,2025F,"constructive algorithms, dfs and similar, dp, graphs, greedy, trees",time limit per test,memory limit per test,F. Choose Your Queriestime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Card Game,2025E,"combinatorics, dp, fft, greedy, math",time limit per test,memory limit per test,E. Card Gametime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Attribute Checks,2025D,"brute force, data structures, dp, implementation, math, two pointers",time limit per test,memory limit per test,D. Attribute Checkstime limit per test2.5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
New Game,2025C,"binary search, brute force, greedy, implementation, sortings, two pointers",time limit per test,memory limit per test,C. New Gametime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
"Binomial Coefficients, Kind Of",2025B,"combinatorics, dp, math",time limit per test,memory limit per test,"B. Binomial Coefficients, Kind Oftime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output"
Two Screens,2025A,"binary search, greedy, strings, two pointers",time limit per test,memory limit per test,A. Two Screenstime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Buying Lemonade,2024B,"binary search, constructive algorithms, sortings",time limit per test,memory limit per test,B. Buying Lemonadetime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Profitable Interest Rate,2024A,"greedy, math",time limit per test,memory limit per test,A. Profitable Interest Ratetime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Hills and Pits,2023F,"data structures, greedy, math, matrices",time limit per test,memory limit per test,F. Hills and Pitstime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Tree of Life,2023E,"dp, greedy, trees",time limit per test,memory limit per test,E. Tree of Lifetime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Many Games,2023D,"brute force, dp, greedy, math, probabilities",time limit per test,memory limit per test,D. Many Gamestime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
C+K+S,2023C,"constructive algorithms, dfs and similar, graphs, greedy, hashing, implementation, strings",time limit per test,memory limit per test,C. C+K+Stime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Skipping,2023B,"binary search, dp, graphs, shortest paths",time limit per test,memory limit per test,B. Skippingtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Concatenation of Arrays,2023A,"constructive algorithms, greedy, math, sortings",time limit per test,memory limit per test,A. Concatenation of Arraystime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Billetes MX (Hard Version),2022E2,"binary search, combinatorics, data structures, dsu, graphs",time limit per test,memory limit per test,E2. Billetes MX (Hard Version)time limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Billetes MX (Easy Version),2022E1,"2-sat, binary search, combinatorics, constructive algorithms, dfs and similar, dsu, graphs",time limit per test,memory limit per test,E1. Billetes MX (Easy Version)time limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Asesino (Hard Version),2022D2,"constructive algorithms, dp, interactive",time limit per test,memory limit per test,D2. Asesino (Hard Version)time limit per test2.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Asesino (Easy Version),2022D1,"binary search, brute force, constructive algorithms, implementation, interactive",time limit per test,memory limit per test,D1. Asesino (Easy Version)time limit per test2.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Gerrymandering,2022C,"dp, implementation",time limit per test,memory limit per test,C. Gerrymanderingtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Kar Salesman,2022B,"binary search, greedy, math",time limit per test,memory limit per test,B. Kar Salesmantime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Bus to Pénjamo,2022A,"constructive algorithms, greedy, implementation, math",time limit per test,memory limit per test,A. Bus to Pénjamotime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Digital Village (Extreme Version),2021E3,"data structures, dfs and similar, dp, dsu, graphs, greedy, math, trees",time limit per test,memory limit per test,E3. Digital Village (Extreme Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Digital Village (Hard Version),2021E2,"data structures, dp, dsu, graphs, math, trees",time limit per test,memory limit per test,E2. Digital Village (Hard Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Digital Village (Easy Version),2021E1,"brute force, data structures, dfs and similar, dp, dsu, fft, graphs, greedy, implementation, math, trees",time limit per test,memory limit per test,E1. Digital Village (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
"Boss, Thirsty",2021D,"dp, greedy, implementation",time limit per test,memory limit per test,"D. Boss, Thirstytime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output"
Adjust The Presentation (Hard Version),2021C2,"constructive algorithms, data structures, greedy, implementation, sortings",time limit per test,memory limit per test,C2. Adjust The Presentation (Hard Version)time limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Adjust The Presentation (Easy Version),2021C1,"constructive algorithms, greedy",time limit per test,memory limit per test,C1. Adjust The Presentation (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Maximize Mex,2021B,"brute force, greedy, math, number theory",time limit per test,memory limit per test,B. Maximize Mextime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Meaning Mean,2021A,"data structures, greedy, math, sortings",time limit per test,memory limit per test,A. Meaning Meantime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Count Leaves,2020F,"dp, math, number theory",time limit per test,memory limit per test,F. Count Leavestime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Expected Power,2020E,"bitmasks, dp, math, probabilities",time limit per test,memory limit per test,E. Expected Powertime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Connect the Dots,2020D,"brute force, dp, dsu, graphs, math, trees",time limit per test,memory limit per test,D. Connect the Dotstime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Bitwise Balancing,2020C,"bitmasks, hashing, implementation, math, schedules, ternary search",time limit per test,memory limit per test,C. Bitwise Balancingtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Brightness Begins,2020B,"binary search, math",time limit per test,memory limit per test,B. Brightness Beginstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Find Minimum Operations,2020A,"bitmasks, brute force, greedy, math, number theory",time limit per test,memory limit per test,A. Find Minimum Operationstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
All Pairs Segments,2019B,"implementation, math",time limit per test,memory limit per test,B. All Pairs Segmentstime limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Max Plus Size,2019A,"brute force, dp, greedy",time limit per test,memory limit per test,A. Max Plus Sizetime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Speedbreaker Counting (Hard Version),2018F3,"dp, greedy, math",time limit per test,memory limit per test,F3. Speedbreaker Counting (Hard Version)time limit per test10 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Speedbreaker Counting (Medium Version),2018F2,"dp, greedy, math",time limit per test,memory limit per test,F2. Speedbreaker Counting (Medium Version)time limit per test10 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Speedbreaker Counting (Easy Version),2018F1,"combinatorics, dp, greedy, math",time limit per test,memory limit per test,F1. Speedbreaker Counting (Easy Version)time limit per test2 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Complex Segments (Hard Version),2018E2,"binary search, data structures, divide and conquer, dsu, greedy, math, sortings",time limit per test,memory limit per test,E2. Complex Segments (Hard Version)time limit per test13 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Complex Segments (Easy Version),2018E1,"binary search, data structures, divide and conquer, dsu, greedy, math, sortings",time limit per test,memory limit per test,E1. Complex Segments (Easy Version)time limit per test6 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Max Plus Min Plus Size,2018D,"data structures, dp, dsu, greedy, implementation, matrices, sortings",time limit per test,memory limit per test,D. Max Plus Min Plus Sizetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Tree Pruning,2018C,"brute force, dfs and similar, greedy, sortings, trees",time limit per test,memory limit per test,C. Tree Pruningtime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Speedbreaker,2018B,"binary search, data structures, dp, greedy, implementation, two pointers",time limit per test,memory limit per test,B. Speedbreakertime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Cards Partition,2018A,"2-sat, brute force, greedy, implementation, math",time limit per test,memory limit per test,A. Cards Partitiontime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Robin Hood Archery,2014H,"data structures, divide and conquer, greedy, hashing",time limit per test,memory limit per test,H. Robin Hood Archerytime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Milky Days,2014G,"brute force, data structures, greedy, implementation",time limit per test,memory limit per test,G. Milky Daystime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sheriff's Defense,2014F,"dfs and similar, dp, greedy, trees",time limit per test,memory limit per test,F. Sheriff's Defensetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Rendez-vous de Marian et Robin,2014E,"dfs and similar, graphs, shortest paths",time limit per test,memory limit per test,E. Rendez-vous de Marian et Robintime limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Robert Hood and Mrs Hood,2014D,"brute force, data structures, greedy, sortings",time limit per test,memory limit per test,D. Robert Hood and Mrs Hoodtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Robin Hood in Town,2014C,"binary search, greedy, math",time limit per test,memory limit per test,C. Robin Hood in Towntime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Robin Hood and the Major Oak,2014B,math,time limit per test,memory limit per test,B. Robin Hood and the Major Oaktime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Robin Helps,2014A,"greedy, implementation",time limit per test,memory limit per test,A. Robin Helpstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Game in Tree (Hard Version),2013F2,"binary search, data structures, trees",time limit per test,memory limit per test,F2. Game in Tree (Hard Version)time limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Game in Tree (Easy Version),2013F1,"binary search, brute force, data structures, dp, games, greedy, implementation, trees",time limit per test,memory limit per test,F1. Game in Tree (Easy Version)time limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Prefix GCD,2013E,"brute force, dp, greedy, math, number theory",time limit per test,memory limit per test,E. Prefix GCDtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Minimize the Difference,2013D,"binary search, greedy",time limit per test,memory limit per test,D. Minimize the Differencetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Password Cracking,2013C,"constructive algorithms, interactive, strings",time limit per test,memory limit per test,C. Password Crackingtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Battle for Survive,2013B,"constructive algorithms, greedy, math",time limit per test,memory limit per test,B. Battle for Survivetime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Zhan's Blender,2013A,"constructive algorithms, math",time limit per test,memory limit per test,A. Zhan's Blendertime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Stack and Queue,2011I,"*special, data structures, divide and conquer",time limit per test,memory limit per test,I. Stack and Queuetime limit per test4 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Strange Matrix,2011H,"*special, graphs, greedy",time limit per test,memory limit per test,H. Strange Matrixtime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Removal of a Permutation,2011G,*special,time limit per test,memory limit per test,G. Removal of a Permutationtime limit per test5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Good Subarray,2011F,"*special, data structures, greedy",time limit per test,memory limit per test,F. Good Subarraytime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Rock-Paper-Scissors Bot,2011E,"*special, greedy, strings",time limit per test,memory limit per test,E. Rock-Paper-Scissors Bottime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Among Wolves,2011D,*special,time limit per test,memory limit per test,D. Among Wolvestime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Split the Expression,2011C,*special,time limit per test,memory limit per test,C. Split the Expressiontime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Shuffle,2011B,*special,time limit per test,memory limit per test,B. Shuffletime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Problem Solving,2011A,*special,time limit per test,memory limit per test,A. Problem Solvingtime limit per test2 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Message Transmission Error (hard version),2010C2,"hashing, string suffix structures, strings, two pointers",time limit per test,memory limit per test,C2. Message Transmission Error (hard version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Message Transmission Error (easy version),2010C1,"brute force, strings",time limit per test,memory limit per test,C1. Message Transmission Error (easy version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Three Brothers,2010B,"brute force, implementation, math",time limit per test,memory limit per test,B. Three Brotherstime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Alternating Sum of Numbers,2010A,"brute force, implementation, math",time limit per test,memory limit per test,A. Alternating Sum of Numberstime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Yunli's Subarray Queries (extreme version),2009G3,"data structures, dp, implementation",time limit per test,memory limit per test,G3. Yunli's Subarray Queries (extreme version)time limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Yunli's Subarray Queries (hard version),2009G2,"binary search, data structures, dp",time limit per test,memory limit per test,G2. Yunli's Subarray Queries (hard version)time limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Yunli's Subarray Queries (easy version),2009G1,"binary search, data structures, two pointers",time limit per test,memory limit per test,G1. Yunli's Subarray Queries (easy version)time limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Firefly's Queries,2009F,"bitmasks, data structures, flows, math",time limit per test,memory limit per test,F. Firefly's Queriestime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Klee's SUPER DUPER LARGE Array!!!,2009E,"binary search, math, ternary search",time limit per test,memory limit per test,E. Klee's SUPER DUPER LARGE Array!!!time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Satyam and Counting,2009D,"geometry, math",time limit per test,memory limit per test,D. Satyam and Countingtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
The Legend of Freya the Frog,2009C,"implementation, math",time limit per test,memory limit per test,C. The Legend of Freya the Frogtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
osu!mania,2009B,"brute force, implementation",time limit per test,memory limit per test,B. osu!maniatime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Minimize!,2009A,"brute force, math",time limit per test,memory limit per test,A. Minimize!time limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako's Test,2008H,"binary search, brute force, greedy, math, number theory",time limit per test,memory limit per test,H. Sakurako's Testtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako's Task,2008G,"binary search, greedy, math, number theory",time limit per test,memory limit per test,G. Sakurako's Tasktime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako's Box,2008F,"combinatorics, math, number theory",time limit per test,memory limit per test,F. Sakurako's Boxtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Alternating String,2008E,"brute force, data structures, dp, greedy, implementation, strings",time limit per test,memory limit per test,E. Alternating Stringtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako's Hobby,2008D,"dp, dsu, graphs, math",time limit per test,memory limit per test,D. Sakurako's Hobbytime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Longest Good Array,2008C,"binary search, brute force, math",time limit per test,memory limit per test,C. Longest Good Arraytime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Square or Not,2008B,"brute force, math, strings",time limit per test,memory limit per test,B. Square or Nottime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako's Exam,2008A,"brute force, constructive algorithms, greedy, math",time limit per test,memory limit per test,A. Sakurako's Examtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Dora and C++,2007C,"math, number theory",time limit per test,memory limit per test,C. Dora and C++time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Index and Maximum Value,2007B,"data structures, greedy",time limit per test,memory limit per test,B. Index and Maximum Valuetime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Dora's Set,2007A,"greedy, math, number theory",time limit per test,memory limit per test,A. Dora's Settime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Dora's Paint,2006F,"brute force, combinatorics, constructive algorithms, graphs, implementation",time limit per test,memory limit per test,F. Dora's Painttime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Iris's Full Binary Tree,2006E,"brute force, data structures, dfs and similar, trees",time limit per test,memory limit per test,E. Iris's Full Binary Treetime limit per test4 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Iris and Adjacent Products,2006D,"data structures, greedy, implementation, math",time limit per test,memory limit per test,D. Iris and Adjacent Productstime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Eri and Expanded Sets,2006C,"data structures, divide and conquer, math, number theory, two pointers",time limit per test,memory limit per test,C. Eri and Expanded Setstime limit per test3 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
Iris and the Tree,2006B,"brute force, data structures, dfs and similar, dsu, math, trees",time limit per test,memory limit per test,B. Iris and the Treetime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Iris and Game on the Tree,2006A,"constructive algorithms, dfs and similar, games, graphs, greedy, trees",time limit per test,memory limit per test,A. Iris and Game on the Treetime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Subtangle Game (Hard Version),2005E2,"data structures, dp, games, greedy, implementation",time limit per test,memory limit per test,E2. Subtangle Game (Hard Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Subtangle Game (Easy Version),2005E1,"dp, games, greedy, implementation",time limit per test,memory limit per test,E1. Subtangle Game (Easy Version)time limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Alter the GCD,2005D,"binary search, brute force, data structures, divide and conquer, implementation, number theory",time limit per test,memory limit per test,D. Alter the GCDtime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Lazy Narek,2005C,"dp, implementation, strings",time limit per test,memory limit per test,C. Lazy Narektime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
The Strict Teacher (Hard Version),2005B2,"binary search, greedy, math, sortings",time limit per test,memory limit per test,B2. The Strict Teacher (Hard Version)time limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
The Strict Teacher (Easy Version),2005B1,"greedy, math, sortings",time limit per test,memory limit per test,B1. The Strict Teacher (Easy Version)time limit per test1.5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Simple Palindrome,2005A,"combinatorics, constructive algorithms, greedy, math",time limit per test,memory limit per test,A. Simple Palindrometime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Substring Compression,2004G,"data structures, dp, matrices",time limit per test,memory limit per test,G. Substring Compressiontime limit per test2 secondsmemory limit per test1024 megabytesinputstandard inputoutputstandard output
Make a Palindrome,2004F,"binary search, brute force, data structures, greedy, math",time limit per test,memory limit per test,F. Make a Palindrometime limit per test5 secondsmemory limit per test512 megabytesinputstandard inputoutputstandard output
