Contest Name,Writers,Start Time,Duration,Registered Participants
Codeforces Round 969 (Div. 1)Enter »Virtual participation »,DitaMirikaLMydd0225Ternary_Tree__FJqwqtzl_Dedicatus545wyrqwq,Aug/30/202417:35,02:30,N/A
Codeforces Round 969 (Div. 2)Enter »Virtual participation »,DitaMirikaLMydd0225Ternary_Tree__FJqwqtzl_Dedicatus545wyrqwq,Aug/30/202417:35,02:30,N/A
Testing Round 19 (Div. 3)Enter »Virtual participation »,,Aug/28/202423:35,00:45,N/A
Codeforces Round 968 (Div. 2)Enter »Virtual participation »,zltzlt,Aug/25/202417:35,02:00,N/A
Codeforces Round 967 (Div. 2)Enter »Virtual participation »,Misuki,Aug/20/202417:35,02:00,N/A
Educational Codeforces Round 169 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoo,Aug/15/202417:35,02:00,N/A
Codeforces Round 966 (Div. 3)Enter »Virtual participation »,Gornak40Vladosiyamyavsenjougaharin,Aug/13/202417:40,02:15,N/A
EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)Enter »Virtual participation »,Flamirele0nxcyle,Aug/11/202417:35,03:00,N/A
Codeforces Round 965 (Div. 2)Enter »Virtual participation »,crysatyam343sum,Aug/10/202417:35,02:00,N/A
Codeforces Round 964 (Div. 4)Enter »Virtual participation »,SlavicGflamestormmesanu,Aug/06/202417:35,02:25,N/A
Codeforces Round 963 (Div. 2)Enter »Virtual participation »,GlowCheesethanhchauns2,Aug/04/202417:35,02:00,N/A
Educational Codeforces Round 168 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoo,Jul/30/202417:35,02:00,N/A
Pinely Round 4 (Div. 1 + Div. 2)Enter »Virtual participation »,ZhouShang2003,Jul/28/202417:35,03:00,N/A
Codeforces Round 962 (Div. 3)Enter »Virtual participation »,crysum,Jul/26/202417:35,02:30,N/A
Codeforces Round 961 (Div. 2)Enter »Virtual participation »,Vitaly503goncharovmikeikrpprppp,Jul/23/202417:35,02:00,N/A
Codeforces Round 960 (Div. 2)Enter »Virtual participation »,wuhudsm,Jul/20/202417:35,02:00,N/A
Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2)Enter »Virtual participation »,EJIC_B_KEDAXSokol080808azureglowgreen_gold_dogmolneyzwezdinv,Jul/18/202417:35,02:00,N/A
Codeforces Round 958 (Div. 2)Enter »Virtual participation »,feecIe6418,Jul/15/202417:35,02:00,N/A
Codeforces Round 957 (Div. 3)Enter »Virtual participation »,ArSarapkinErnKorK1o0nKmesNoobish_Monk,Jul/11/202417:35,02:15,N/A
Codeforces Round 956 (Div. 2) and ByteRace 2024Enter »Virtual participation »,AwakeAnayBlazingDragonDC17MrSavageVSPew_Pew.ShivanshJSwap-nilTimeWarp101,Jul/07/202417:35,02:15,N/A
EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2)Enter »Virtual participation »,Vladithur,Jun/30/202417:35,03:00,N/A
Educational Codeforces Round 167 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,Jun/27/202417:35,02:00,N/A
"Codeforces Round 955 (Div. 2, with prizes from NEAR!)Enter »Virtual participation »",FelixArgegor4444ikiamdimonisnik1998,Jun/25/202417:35,02:00,N/A
Codeforces Round 954 (Div. 3)Enter »Virtual participation »,74TrAkToR,Jun/23/202417:50,02:15,N/A
Codeforces Round 953 (Div. 2)Enter »Virtual participation »,127.0.0.1Artyom123IzhtskiyTimofeyTheEvilBirdTikhon228bashkortvaaven,Jun/16/202412:05,02:00,N/A
Codeforces Round 952 (Div. 4)Enter »Virtual participation »,crysum,Jun/11/202417:35,02:30,N/A
Codeforces Global Round 26Enter »Virtual participation »,bufferingflamestormle0nnull_awe,Jun/09/202417:35,03:00,N/A
Codeforces Round 951 (Div. 2)Enter »Virtual participation »,iNNNo,Jun/06/202417:35,02:00,N/A
Codeforces Round 950 (Div. 3)Enter »Virtual participation »,Gornak40Vladosiyamyavsenjougaharin,Jun/03/202417:35,02:15,N/A
Codeforces Round 949 (Div. 2)Enter »Virtual participation »,sinsop90yinheezltzlt,May/31/202413:05,02:00,N/A
Educational Codeforces Round 166 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,May/30/202417:35,02:00,N/A
Codeforces Round 948 (Div. 2)Enter »Virtual participation »,Stefan2417alexchist,May/26/202417:35,02:00,N/A
Codeforces Round 947 (Div. 1 + Div. 2)Enter »Virtual participation »,Atomic-JellyfishBazoka13NerovixSanweiTreapServalToxeljhdonghj112,May/25/202417:35,03:00,N/A
Codeforces Round 946 (Div. 3)Enter »Virtual participation »,Aksenov239MaxBuzzRobinFromTheHoodaz453darnleyfedor.tsarevizbanlsantirepkhaustov,May/20/202417:35,02:15,N/A
Codeforces Round 945 (Div. 2)Enter »Virtual participation »,TimDeeprvocislo,May/17/202417:35,02:00,N/A
Kotlin Heroes: Episode 10Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,May/13/202417:35,02:30,N/A
Codeforces Round 944 (Div. 4)Enter »Virtual participation »,SlavicGflamestormmesanu,May/10/202417:35,02:15,N/A
Kotlin Heroes: Practice 10Enter »,,May/07/202418:35,5:22:00,N/A
2023 Post World Finals Online ICPC Challenge powered by HuaweiEnter »,,May/06/202418:00,17:01:00,N/A
"Helvetic Coding Contest 2024 online mirror (teams allowed, unrated)Enter »Virtual participation »",3EVEHAR_KOAVAAdrienVannsonCauchicoCharbelPetrScarletSbjornarghmatrixzehnsechs,May/04/202410:05,04:30,N/A
Codeforces Round 943 (Div. 3)Enter »Virtual participation »,FBISashaT9,May/02/202417:45,02:15,N/A
Codeforces Round 942 (Div. 1)Enter »Virtual participation »,N_z__rui_erwyrqwqyinhy09,Apr/30/202417:35,02:30,N/A
Codeforces Round 942 (Div. 2)Enter »Virtual participation »,N_z__rui_erwyrqwqyinhy09,Apr/30/202417:35,02:30,N/A
Educational Codeforces Round 165 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,Apr/29/202417:35,02:00,N/A
Codeforces Round 941 (Div. 1)Enter »Virtual participation »,jdurietourist,Apr/27/202417:35,02:00,N/A
Codeforces Round 941 (Div. 2)Enter »Virtual participation »,jdurietourist,Apr/27/202417:35,02:00,N/A
Codeforces Round 940 (Div. 2) and CodeCraft-23Enter »Virtual participation »,GenghizKhanJadeReaperPrakul_AgrawalSilverTongue1729TheRajaakcubefangahawkkevaljainkeyurchd_11ppt1524shakrshiven,Apr/21/202417:35,02:15,N/A
Codeforces Round 939 (Div. 2)Enter »Virtual participation »,0doOOtomachi_Una,Apr/13/202417:35,02:00,N/A
Educational Codeforces Round 164 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,Apr/12/202417:35,02:00,N/A
Codeforces Round 938 (Div. 3)Enter »Virtual participation »,ZergTrickymainyutinssor96vmanosin7,Apr/08/202417:35,02:15,N/A
Codeforces Global Round 25Enter »Virtual participation »,KuroniMofK,Apr/06/202417:35,03:00,N/A
April Fools Day Contest 2024Enter »Virtual participation »,AlperenTToxicPie9flamestormwilly108,Apr/01/202417:35,02:00,N/A
"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)Enter »Virtual participation »",bufferingcryoursacosmaxsum,Mar/30/202417:35,03:00,N/A
Codeforces Round 937 (Div. 4)Enter »Virtual participation »,SlavicGflamestormmesanu,Mar/28/202417:45,02:15,N/A
"European Championship 2024 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)Enter »Virtual participation »",GioveMZuenniPetrantontrygubO_obicsidario2994,Mar/24/202413:00,05:00,N/A
Codeforces Round 936 (Div. 2)Enter »Virtual participation »,azureglowexhaustedmax0000561yunetive29,Mar/22/202417:35,02:00,N/A
Codeforces Round 935 (Div. 3)Enter »Virtual participation »,GadgetKirill_MaglyshNToneE,Mar/19/202411:05,02:15,N/A
Codeforces Round 934 (Div. 1)Enter »Virtual participation »,Dominater069Everulesatyam343,Mar/16/202417:35,02:25,N/A
Codeforces Round 934 (Div. 2)Enter »Virtual participation »,Dominater069Everulesatyam343,Mar/16/202417:35,02:25,N/A
Educational Codeforces Round 163 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,Mar/15/202417:35,02:00,N/A
Codeforces Round 933 (Div. 3)Enter »Virtual participation »,Alexey_ParshMordvin13Sasha0738Vladosiyadaha.002natalinat0rtikvladmart,Mar/11/202417:35,02:15,N/A
"XVIII Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)Enter »Virtual participation »",MangoosteOrmlisPapaz239TheEvilBirdTikhon228ViktorSMgrphilisaf27pakhomoveesevlll777vaaven,Mar/09/202412:05,05:00,N/A
"XVIII Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)Enter »Virtual participation »",MangoosteOrmlisPapaz239TheEvilBirdTikhon228ViktorSMgrphilisaf27pakhomoveesevlll777vaaven,Mar/08/202412:05,05:00,N/A
Codeforces Round 932 (Div. 2)Enter »Virtual participation »,AndreyPavlovIzhtskiyTimofeyi_love_penguins,Mar/05/202417:35,02:00,N/A
"2024 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)Enter »Virtual participation »",athinayazeir5jonathanirvingskevinsogopandamoniumprabowo,Mar/02/202405:35,05:00,N/A
Codeforces Round 931 (Div. 2)Enter »Virtual participation »,harsh__h,Mar/01/202417:35,02:00,N/A
Codeforces Round 930 (Div. 1)Enter »Virtual participation »,MagicalFlowerPsychotic_Dchromate00wuhudsm,Feb/29/202417:35,02:00,N/A
Codeforces Round 930 (Div. 2)Enter »Virtual participation »,MagicalFlowerPsychotic_Dchromate00wuhudsm,Feb/29/202417:35,02:00,N/A
Codeforces Round 929 (Div. 3)Enter »Virtual participation »,dbsbserniepsycholonejerryliuhkglomienyeetsnowysecret,Feb/27/202417:35,02:15,N/A
Educational Codeforces Round 162 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,Feb/23/202417:35,02:00,N/A
Codeforces Round 928 (Div. 4)Enter »Virtual participation »,SlavicGflamestormmesanu,Feb/19/202417:35,02:15,N/A
Codeforces Round 927 (Div. 3)Enter »Virtual participation »,MikeMirzayanovVladosiyadenkgoncharovmikeikrpprppppashkastep_by_step,Feb/18/202415:05,02:15,N/A
think-cell Round 1Enter »Virtual participation »,Elegiasatyam343,Feb/17/202417:35,03:00,N/A
Codeforces Round 926 (Div. 2)Enter »Virtual participation »,FairyWinx,Feb/15/202417:35,02:00,N/A
Codeforces Round 925 (Div. 3)Enter »Virtual participation »,Gornak40Vladosiyamyavsenjougaharin,Feb/13/202417:35,02:15,N/A
Codeforces Round 924 (Div. 2)Enter »Virtual participation »,Alexdat2000Artyom123silvvasilteraqqqvaaven,Feb/11/202412:35,02:00,N/A
Codeforces Round 923 (Div. 3)Enter »Virtual participation »,MikeMirzayanov,Feb/06/202417:45,02:15,N/A
Codeforces Round 922 (Div. 2)Enter »Virtual participation »,ace5ooaa,Jan/30/202417:35,02:10,N/A
Codeforces Round 921 (Div. 1)Enter »Virtual participation »,JaySharma1048576mexomerfyash_daga,Jan/27/202417:45,02:00,N/A
