contestId,index,timeLimit,memoryLimit
2018,E1,No Time Limit,No Memory Limit
2018,D,No Time Limit,No Memory Limit
2018,C,No Time Limit,No Memory Limit
2018,B,No Time Limit,No Memory Limit
2018,A,No Time Limit,No Memory Limit
2014,H,No Time Limit,No Memory Limit
2014,G,No Time Limit,No Memory Limit
2014,F,No Time Limit,No Memory Limit
2014,E,No Time Limit,No Memory Limit
2014,D,No Time Limit,No Memory Limit
2014,C,No Time Limit,No Memory Limit
2014,B,No Time Limit,No Memory Limit
2014,A,No Time Limit,No Memory Limit
2013,F2,No Time Limit,No Memory Limit
2013,F1,No Time Limit,No Memory Limit
2013,E,No Time Limit,No Memory Limit
2013,D,No Time Limit,No Memory Limit
2013,C,No Time Limit,No Memory Limit
2013,B,No Time Limit,No Memory Limit
2013,A,No Time Limit,No Memory Limit
2011,I,No Time Limit,No Memory Limit
2011,H,No Time Limit,No Memory Limit
2011,G,No Time Limit,No Memory Limit
2011,F,No Time Limit,No Memory Limit
2011,E,No Time Limit,No Memory Limit
2011,D,No Time Limit,No Memory Limit
2011,C,No Time Limit,No Memory Limit
2011,B,No Time Limit,No Memory Limit
2011,A,No Time Limit,No Memory Limit
2010,C2,No Time Limit,No Memory Limit
2010,C1,No Time Limit,No Memory Limit
2010,B,No Time Limit,No Memory Limit
2010,A,No Time Limit,No Memory Limit
2009,G3,No Time Limit,No Memory Limit
2009,G2,No Time Limit,No Memory Limit
2009,G1,No Time Limit,No Memory Limit
2009,F,No Time Limit,No Memory Limit
2009,E,No Time Limit,No Memory Limit
2009,D,No Time Limit,No Memory Limit
2009,C,No Time Limit,No Memory Limit
2009,B,No Time Limit,No Memory Limit
2009,A,No Time Limit,No Memory Limit
2008,H,No Time Limit,No Memory Limit
2008,G,No Time Limit,No Memory Limit
2008,F,No Time Limit,No Memory Limit
2008,E,No Time Limit,No Memory Limit
2008,D,No Time Limit,No Memory Limit
2008,C,No Time Limit,No Memory Limit
2008,B,No Time Limit,No Memory Limit
2008,A,No Time Limit,No Memory Limit
2007,C,No Time Limit,No Memory Limit
2007,B,No Time Limit,No Memory Limit
2007,A,No Time Limit,No Memory Limit
2006,F,No Time Limit,No Memory Limit
2006,E,No Time Limit,No Memory Limit
2006,D,No Time Limit,No Memory Limit
2006,C,No Time Limit,No Memory Limit
2006,B,No Time Limit,No Memory Limit
2006,A,No Time Limit,No Memory Limit
2005,E2,No Time Limit,No Memory Limit
2005,E1,No Time Limit,No Memory Limit
2005,D,No Time Limit,No Memory Limit
2005,C,No Time Limit,No Memory Limit
2005,B2,No Time Limit,No Memory Limit
2005,B1,No Time Limit,No Memory Limit
2005,A,No Time Limit,No Memory Limit
2004,G,No Time Limit,No Memory Limit
2004,F,No Time Limit,No Memory Limit
2004,E,No Time Limit,No Memory Limit
2004,D,No Time Limit,No Memory Limit
2004,C,No Time Limit,No Memory Limit
2004,B,No Time Limit,No Memory Limit
2004,A,No Time Limit,No Memory Limit
2003,F,No Time Limit,No Memory Limit
2003,E2,No Time Limit,No Memory Limit
2003,E1,No Time Limit,No Memory Limit
2003,D2,No Time Limit,No Memory Limit
2003,D1,No Time Limit,No Memory Limit
2003,C,No Time Limit,No Memory Limit
2003,B,No Time Limit,No Memory Limit
2003,A,No Time Limit,No Memory Limit
2002,H,No Time Limit,No Memory Limit
2002,G,No Time Limit,No Memory Limit
2002,F2,No Time Limit,No Memory Limit
2002,F1,No Time Limit,No Memory Limit
2002,E,No Time Limit,No Memory Limit
2002,D2,No Time Limit,No Memory Limit
2002,D1,No Time Limit,No Memory Limit
2002,C,No Time Limit,No Memory Limit
2002,B,No Time Limit,No Memory Limit
2002,A,No Time Limit,No Memory Limit
2001,E2,No Time Limit,No Memory Limit
2001,E1,No Time Limit,No Memory Limit
2001,D,No Time Limit,No Memory Limit
2001,C,No Time Limit,No Memory Limit
2001,B,No Time Limit,No Memory Limit
2001,A,No Time Limit,No Memory Limit
2000,H,No Time Limit,No Memory Limit
2000,G,No Time Limit,No Memory Limit
2000,F,No Time Limit,No Memory Limit
2000,E,No Time Limit,No Memory Limit
2000,D,No Time Limit,No Memory Limit
2000,C,No Time Limit,No Memory Limit
2000,B,No Time Limit,No Memory Limit
2000,A,No Time Limit,No Memory Limit
1999,G2,No Time Limit,No Memory Limit
1999,G1,No Time Limit,No Memory Limit
1999,F,No Time Limit,No Memory Limit
1999,E,No Time Limit,No Memory Limit
1999,D,No Time Limit,No Memory Limit
1999,C,No Time Limit,No Memory Limit
1999,B,No Time Limit,No Memory Limit
1999,A,No Time Limit,No Memory Limit
1998,E2,No Time Limit,No Memory Limit
1998,E1,No Time Limit,No Memory Limit
1998,D,No Time Limit,No Memory Limit
1998,C,No Time Limit,No Memory Limit
1998,B,No Time Limit,No Memory Limit
1998,A,No Time Limit,No Memory Limit
1997,F,No Time Limit,No Memory Limit
1997,E,No Time Limit,No Memory Limit
1997,D,No Time Limit,No Memory Limit
1997,C,No Time Limit,No Memory Limit
1997,B,No Time Limit,No Memory Limit
1997,A,No Time Limit,No Memory Limit
1996,G,No Time Limit,No Memory Limit
1996,F,No Time Limit,No Memory Limit
1996,E,No Time Limit,No Memory Limit
1996,D,No Time Limit,No Memory Limit
1996,C,No Time Limit,No Memory Limit
1996,B,No Time Limit,No Memory Limit
1996,A,No Time Limit,No Memory Limit
1995,E2,No Time Limit,No Memory Limit
1995,E1,No Time Limit,No Memory Limit
1995,D,No Time Limit,No Memory Limit
1995,C,No Time Limit,No Memory Limit
1995,B2,No Time Limit,No Memory Limit
1995,B1,No Time Limit,No Memory Limit
1995,A,No Time Limit,No Memory Limit
1994,H,No Time Limit,No Memory Limit
1994,G,No Time Limit,No Memory Limit
1994,F,No Time Limit,No Memory Limit
1994,E,No Time Limit,No Memory Limit
1994,D,No Time Limit,No Memory Limit
1994,C,No Time Limit,No Memory Limit
1994,B,No Time Limit,No Memory Limit
1994,A,No Time Limit,No Memory Limit
1993,F2,No Time Limit,No Memory Limit
1993,F1,No Time Limit,No Memory Limit
1993,E,No Time Limit,No Memory Limit
1993,D,No Time Limit,No Memory Limit
1993,C,No Time Limit,No Memory Limit
1993,B,No Time Limit,No Memory Limit
1993,A,No Time Limit,No Memory Limit
1992,G,No Time Limit,No Memory Limit
1992,F,No Time Limit,No Memory Limit
1992,E,No Time Limit,No Memory Limit
1992,D,No Time Limit,No Memory Limit
1992,C,No Time Limit,No Memory Limit
1992,B,No Time Limit,No Memory Limit
1992,A,No Time Limit,No Memory Limit
1991,I,No Time Limit,No Memory Limit
1991,H,No Time Limit,No Memory Limit
1991,G,No Time Limit,No Memory Limit
1991,F,No Time Limit,No Memory Limit
1991,E,No Time Limit,No Memory Limit
1991,D,No Time Limit,No Memory Limit
1991,C,No Time Limit,No Memory Limit
1991,B,No Time Limit,No Memory Limit
1991,A,No Time Limit,No Memory Limit
1990,F,No Time Limit,No Memory Limit
1990,E2,No Time Limit,No Memory Limit
1990,E1,No Time Limit,No Memory Limit
1990,D,No Time Limit,No Memory Limit
1990,C,No Time Limit,No Memory Limit
1990,B,No Time Limit,No Memory Limit
1990,A,No Time Limit,No Memory Limit
1989,F,No Time Limit,No Memory Limit
1989,E,No Time Limit,No Memory Limit
1989,D,No Time Limit,No Memory Limit
1989,C,No Time Limit,No Memory Limit
1989,B,No Time Limit,No Memory Limit
1989,A,No Time Limit,No Memory Limit
1988,F,No Time Limit,No Memory Limit
1988,E,No Time Limit,No Memory Limit
1988,D,No Time Limit,No Memory Limit
1988,C,No Time Limit,No Memory Limit
1988,B,No Time Limit,No Memory Limit
1988,A,No Time Limit,No Memory Limit
1987,H,No Time Limit,No Memory Limit
1987,G2,No Time Limit,No Memory Limit
1987,G1,No Time Limit,No Memory Limit
1987,F2,No Time Limit,No Memory Limit
1987,F1,No Time Limit,No Memory Limit
1987,E,No Time Limit,No Memory Limit
1987,D,No Time Limit,No Memory Limit
1987,C,No Time Limit,No Memory Limit
1987,B,No Time Limit,No Memory Limit
1987,A,No Time Limit,No Memory Limit
1986,G2,No Time Limit,No Memory Limit
1986,G1,No Time Limit,No Memory Limit
1986,F,No Time Limit,No Memory Limit
1986,E,No Time Limit,No Memory Limit
1986,D,No Time Limit,No Memory Limit
1986,C,No Time Limit,No Memory Limit
1986,B,No Time Limit,No Memory Limit
1986,A,No Time Limit,No Memory Limit
1985,H2,No Time Limit,No Memory Limit
1985,H1,No Time Limit,No Memory Limit
1985,G,No Time Limit,No Memory Limit
1985,F,No Time Limit,No Memory Limit
1985,E,No Time Limit,No Memory Limit
1985,D,No Time Limit,No Memory Limit
1985,C,No Time Limit,No Memory Limit
1985,B,No Time Limit,No Memory Limit
1985,A,No Time Limit,No Memory Limit
1984,H,No Time Limit,No Memory Limit
1984,G,No Time Limit,No Memory Limit
1984,F,No Time Limit,No Memory Limit
1984,E,No Time Limit,No Memory Limit
1984,D,No Time Limit,No Memory Limit
1984,C2,No Time Limit,No Memory Limit
1984,C1,No Time Limit,No Memory Limit
1984,B,No Time Limit,No Memory Limit
1984,A,No Time Limit,No Memory Limit
1983,G,No Time Limit,No Memory Limit
1983,F,No Time Limit,No Memory Limit
1983,E,No Time Limit,No Memory Limit
1983,D,No Time Limit,No Memory Limit
1983,C,No Time Limit,No Memory Limit
1983,B,No Time Limit,No Memory Limit
1983,A,No Time Limit,No Memory Limit
1982,F,No Time Limit,No Memory Limit
1982,E,No Time Limit,No Memory Limit
1982,D,No Time Limit,No Memory Limit
1982,C,No Time Limit,No Memory Limit
1982,B,No Time Limit,No Memory Limit
1982,A,No Time Limit,No Memory Limit
1981,F,No Time Limit,No Memory Limit
1981,E,No Time Limit,No Memory Limit
1981,D,No Time Limit,No Memory Limit
1981,C,No Time Limit,No Memory Limit
1981,B,No Time Limit,No Memory Limit
1981,A,No Time Limit,No Memory Limit
1980,G,No Time Limit,No Memory Limit
1980,F2,No Time Limit,No Memory Limit
1980,F1,No Time Limit,No Memory Limit
1980,E,No Time Limit,No Memory Limit
1980,D,No Time Limit,No Memory Limit
1980,C,No Time Limit,No Memory Limit
1980,B,No Time Limit,No Memory Limit
1980,A,No Time Limit,No Memory Limit
1979,F,No Time Limit,No Memory Limit
1979,E,No Time Limit,No Memory Limit
1979,D,No Time Limit,No Memory Limit
1979,C,No Time Limit,No Memory Limit
1979,B,No Time Limit,No Memory Limit
1979,A,No Time Limit,No Memory Limit
1978,F,No Time Limit,No Memory Limit
1978,E,No Time Limit,No Memory Limit
1978,D,No Time Limit,No Memory Limit
1978,C,No Time Limit,No Memory Limit
1978,B,No Time Limit,No Memory Limit
1978,A,No Time Limit,No Memory Limit
1977,E,No Time Limit,No Memory Limit
1977,D,No Time Limit,No Memory Limit
1977,C,No Time Limit,No Memory Limit
1977,B,No Time Limit,No Memory Limit
1977,A,No Time Limit,No Memory Limit
1976,F,No Time Limit,No Memory Limit
1976,E,No Time Limit,No Memory Limit
1976,D,No Time Limit,No Memory Limit
1976,C,No Time Limit,No Memory Limit
1976,B,No Time Limit,No Memory Limit
1976,A,No Time Limit,No Memory Limit
1975,I,No Time Limit,No Memory Limit
1975,H,No Time Limit,No Memory Limit
1975,G,No Time Limit,No Memory Limit
1975,F,No Time Limit,No Memory Limit
1975,E,No Time Limit,No Memory Limit
1975,D,No Time Limit,No Memory Limit
1975,C,No Time Limit,No Memory Limit
1975,B,No Time Limit,No Memory Limit
1975,A,No Time Limit,No Memory Limit
1974,G,No Time Limit,No Memory Limit
1974,F,No Time Limit,No Memory Limit
1974,E,No Time Limit,No Memory Limit
1974,D,No Time Limit,No Memory Limit
1974,C,No Time Limit,No Memory Limit
1974,B,No Time Limit,No Memory Limit
1974,A,No Time Limit,No Memory Limit
1973,F,No Time Limit,No Memory Limit
1973,E,No Time Limit,No Memory Limit
1973,D,No Time Limit,No Memory Limit
1973,C,No Time Limit,No Memory Limit
1973,B,No Time Limit,No Memory Limit
1973,A,No Time Limit,No Memory Limit
1972,B,No Time Limit,No Memory Limit
1972,A,No Time Limit,No Memory Limit
1971,H,No Time Limit,No Memory Limit
1971,G,No Time Limit,No Memory Limit
1971,F,No Time Limit,No Memory Limit
1971,E,No Time Limit,No Memory Limit
1971,D,No Time Limit,No Memory Limit
1971,C,No Time Limit,No Memory Limit
1971,B,No Time Limit,No Memory Limit
1971,A,No Time Limit,No Memory Limit
1970,G3,No Time Limit,No Memory Limit
1970,G2,No Time Limit,No Memory Limit
1970,G1,No Time Limit,No Memory Limit
1970,F3,No Time Limit,No Memory Limit
1970,F2,No Time Limit,No Memory Limit
1970,F1,No Time Limit,No Memory Limit
1970,E3,No Time Limit,No Memory Limit
1970,E2,No Time Limit,No Memory Limit
1970,E1,No Time Limit,No Memory Limit
1970,D3,No Time Limit,No Memory Limit
1970,D2,No Time Limit,No Memory Limit
1970,D1,No Time Limit,No Memory Limit
1970,C3,No Time Limit,No Memory Limit
1970,C2,No Time Limit,No Memory Limit
1970,C1,No Time Limit,No Memory Limit
1970,B3,No Time Limit,No Memory Limit
1970,B2,No Time Limit,No Memory Limit
1970,B1,No Time Limit,No Memory Limit
1970,A3,No Time Limit,No Memory Limit
1970,A2,No Time Limit,No Memory Limit
1970,A1,No Time Limit,No Memory Limit
1969,F,No Time Limit,No Memory Limit
1969,E,No Time Limit,No Memory Limit
1969,D,No Time Limit,No Memory Limit
1969,C,No Time Limit,No Memory Limit
1969,B,No Time Limit,No Memory Limit
1969,A,No Time Limit,No Memory Limit
1968,G2,No Time Limit,No Memory Limit
1968,G1,No Time Limit,No Memory Limit
1968,F,No Time Limit,No Memory Limit
1968,E,No Time Limit,No Memory Limit
1968,D,No Time Limit,No Memory Limit
1968,C,No Time Limit,No Memory Limit
1968,B,No Time Limit,No Memory Limit
1968,A,No Time Limit,No Memory Limit
1967,F,No Time Limit,No Memory Limit
1967,E2,No Time Limit,No Memory Limit
1967,E1,No Time Limit,No Memory Limit
1967,D,No Time Limit,No Memory Limit
1967,C,No Time Limit,No Memory Limit
1967,B2,No Time Limit,No Memory Limit
1967,B1,No Time Limit,No Memory Limit
1967,A,No Time Limit,No Memory Limit
1966,B,No Time Limit,No Memory Limit
1966,A,No Time Limit,No Memory Limit
1965,F,No Time Limit,No Memory Limit
1965,E,No Time Limit,No Memory Limit
1965,D,No Time Limit,No Memory Limit
1965,C,No Time Limit,No Memory Limit
1965,B,No Time Limit,No Memory Limit
1965,A,No Time Limit,No Memory Limit
1958,J,No Time Limit,No Memory Limit
1958,I,No Time Limit,No Memory Limit
1958,H,No Time Limit,No Memory Limit
1958,G,No Time Limit,No Memory Limit
1958,F,No Time Limit,No Memory Limit
1958,E,No Time Limit,No Memory Limit
1958,D,No Time Limit,No Memory Limit
1958,C,No Time Limit,No Memory Limit
1958,B,No Time Limit,No Memory Limit
1958,A,No Time Limit,No Memory Limit
1957,F2,No Time Limit,No Memory Limit
1957,F1,No Time Limit,No Memory Limit
1957,E,No Time Limit,No Memory Limit
1957,D,No Time Limit,No Memory Limit
1957,C,No Time Limit,No Memory Limit
1957,B,No Time Limit,No Memory Limit
1957,A,No Time Limit,No Memory Limit
1956,F,No Time Limit,No Memory Limit
1956,E2,No Time Limit,No Memory Limit
1956,E1,No Time Limit,No Memory Limit
1956,D,No Time Limit,No Memory Limit
1956,C,No Time Limit,No Memory Limit
1956,B,No Time Limit,No Memory Limit
1956,A,No Time Limit,No Memory Limit
1955,H,No Time Limit,No Memory Limit
1955,G,No Time Limit,No Memory Limit
1955,F,No Time Limit,No Memory Limit
1955,E,No Time Limit,No Memory Limit
1955,D,No Time Limit,No Memory Limit
1955,C,No Time Limit,No Memory Limit
1955,B,No Time Limit,No Memory Limit
1955,A,No Time Limit,No Memory Limit
1954,F,No Time Limit,No Memory Limit
1954,E,No Time Limit,No Memory Limit
1954,D,No Time Limit,No Memory Limit
1954,C,No Time Limit,No Memory Limit
1954,B,No Time Limit,No Memory Limit
1954,A,No Time Limit,No Memory Limit
1953,A,No Time Limit,No Memory Limit
1952,J,No Time Limit,No Memory Limit
1952,I,No Time Limit,No Memory Limit
1952,H,No Time Limit,No Memory Limit
1952,G,No Time Limit,No Memory Limit
1952,F,No Time Limit,No Memory Limit
1952,E,No Time Limit,No Memory Limit
1952,D,No Time Limit,No Memory Limit
1952,C,No Time Limit,No Memory Limit
1952,B,No Time Limit,No Memory Limit
1952,A,No Time Limit,No Memory Limit
1951,I,No Time Limit,No Memory Limit
1951,H,No Time Limit,No Memory Limit
1951,G,No Time Limit,No Memory Limit
1951,F,No Time Limit,No Memory Limit
1951,E,No Time Limit,No Memory Limit
1951,D,No Time Limit,No Memory Limit
1951,C,No Time Limit,No Memory Limit
1951,B,No Time Limit,No Memory Limit
1951,A,No Time Limit,No Memory Limit
1950,G,No Time Limit,No Memory Limit
1950,F,No Time Limit,No Memory Limit
1950,E,No Time Limit,No Memory Limit
1950,D,No Time Limit,No Memory Limit
1950,C,No Time Limit,No Memory Limit
1950,B,No Time Limit,No Memory Limit
1950,A,No Time Limit,No Memory Limit
1949,K,No Time Limit,No Memory Limit
1949,J,No Time Limit,No Memory Limit
1949,I,No Time Limit,No Memory Limit
1949,H,No Time Limit,No Memory Limit
1949,G,No Time Limit,No Memory Limit
1949,F,No Time Limit,No Memory Limit
1949,E,No Time Limit,No Memory Limit
1949,D,No Time Limit,No Memory Limit
1949,C,No Time Limit,No Memory Limit
1949,B,No Time Limit,No Memory Limit
1949,A,No Time Limit,No Memory Limit
1948,G,No Time Limit,No Memory Limit
1948,F,No Time Limit,No Memory Limit
1948,E,No Time Limit,No Memory Limit
1948,D,No Time Limit,No Memory Limit
1948,C,No Time Limit,No Memory Limit
1948,B,No Time Limit,No Memory Limit
1948,A,No Time Limit,No Memory Limit
1946,F,No Time Limit,No Memory Limit
1946,E,No Time Limit,No Memory Limit
1946,D,No Time Limit,No Memory Limit
1946,C,No Time Limit,No Memory Limit
1946,B,No Time Limit,No Memory Limit
1946,A,No Time Limit,No Memory Limit
1945,H,No Time Limit,No Memory Limit
1945,G,No Time Limit,No Memory Limit
1945,F,No Time Limit,No Memory Limit
1945,E,No Time Limit,No Memory Limit
1945,D,No Time Limit,No Memory Limit
1945,C,No Time Limit,No Memory Limit
1945,B,No Time Limit,No Memory Limit
1945,A,No Time Limit,No Memory Limit
1944,B,No Time Limit,No Memory Limit
1944,A,No Time Limit,No Memory Limit
1943,F,No Time Limit,No Memory Limit
1943,E2,No Time Limit,No Memory Limit
1943,E1,No Time Limit,No Memory Limit
1943,D2,No Time Limit,No Memory Limit
1943,D1,No Time Limit,No Memory Limit
1943,C,No Time Limit,No Memory Limit
1943,B,No Time Limit,No Memory Limit
1943,A,No Time Limit,No Memory Limit
1942,H,No Time Limit,No Memory Limit
1942,G,No Time Limit,No Memory Limit
1942,F,No Time Limit,No Memory Limit
1942,E,No Time Limit,No Memory Limit
1942,D,No Time Limit,No Memory Limit
1942,C2,No Time Limit,No Memory Limit
1942,C1,No Time Limit,No Memory Limit
1942,B,No Time Limit,No Memory Limit
1942,A,No Time Limit,No Memory Limit
1941,G,No Time Limit,No Memory Limit
1941,F,No Time Limit,No Memory Limit
1941,E,No Time Limit,No Memory Limit
1941,D,No Time Limit,No Memory Limit
1941,C,No Time Limit,No Memory Limit
1941,B,No Time Limit,No Memory Limit
1941,A,No Time Limit,No Memory Limit
1940,D,No Time Limit,No Memory Limit
1940,C,No Time Limit,No Memory Limit
1940,B,No Time Limit,No Memory Limit
1940,A,No Time Limit,No Memory Limit
1939,D,No Time Limit,No Memory Limit
1939,C,No Time Limit,No Memory Limit
1939,B,No Time Limit,No Memory Limit
1939,A,No Time Limit,No Memory Limit
1938,M,No Time Limit,No Memory Limit
1938,L,No Time Limit,No Memory Limit
1938,K,No Time Limit,No Memory Limit
1938,J,No Time Limit,No Memory Limit
1938,I,No Time Limit,No Memory Limit
1938,H,No Time Limit,No Memory Limit
1938,G,No Time Limit,No Memory Limit
1938,F,No Time Limit,No Memory Limit
1938,E,No Time Limit,No Memory Limit
1938,D,No Time Limit,No Memory Limit
1938,C,No Time Limit,No Memory Limit
1938,B,No Time Limit,No Memory Limit
1938,A,No Time Limit,No Memory Limit
1937,B,No Time Limit,No Memory Limit
1937,A,No Time Limit,No Memory Limit
1936,F,No Time Limit,No Memory Limit
1936,E,No Time Limit,No Memory Limit
1936,D,No Time Limit,No Memory Limit
1936,C,No Time Limit,No Memory Limit
1936,B,No Time Limit,No Memory Limit
1936,A,No Time Limit,No Memory Limit
1935,F,No Time Limit,No Memory Limit
1935,E,No Time Limit,No Memory Limit
1935,D,No Time Limit,No Memory Limit
1935,C,No Time Limit,No Memory Limit
1935,B,No Time Limit,No Memory Limit
1935,A,No Time Limit,No Memory Limit
1934,E,No Time Limit,No Memory Limit
1934,D2,No Time Limit,No Memory Limit
1934,D1,No Time Limit,No Memory Limit
1934,C,No Time Limit,No Memory Limit
1934,B,No Time Limit,No Memory Limit
1934,A,No Time Limit,No Memory Limit
1933,G,No Time Limit,No Memory Limit
1933,F,No Time Limit,No Memory Limit
1933,E,No Time Limit,No Memory Limit
1933,D,No Time Limit,No Memory Limit
1933,C,No Time Limit,No Memory Limit
1933,B,No Time Limit,No Memory Limit
1933,A,No Time Limit,No Memory Limit
1932,G,No Time Limit,No Memory Limit
1932,F,No Time Limit,No Memory Limit
1932,E,No Time Limit,No Memory Limit
1932,D,No Time Limit,No Memory Limit
1932,C,No Time Limit,No Memory Limit
1932,B,No Time Limit,No Memory Limit
1932,A,No Time Limit,No Memory Limit
1931,G,No Time Limit,No Memory Limit
1931,F,No Time Limit,No Memory Limit
1931,E,No Time Limit,No Memory Limit
1931,D,No Time Limit,No Memory Limit
1931,C,No Time Limit,No Memory Limit
1931,B,No Time Limit,No Memory Limit
1931,A,No Time Limit,No Memory Limit
1930,I,No Time Limit,No Memory Limit
1930,H,No Time Limit,No Memory Limit
1930,G,No Time Limit,No Memory Limit
1930,F,No Time Limit,No Memory Limit
1930,E,No Time Limit,No Memory Limit
1930,D2,No Time Limit,No Memory Limit
1930,D1,No Time Limit,No Memory Limit
1930,C,No Time Limit,No Memory Limit
1930,B,No Time Limit,No Memory Limit
1930,A,No Time Limit,No Memory Limit
1929,F,No Time Limit,No Memory Limit
1929,E,No Time Limit,No Memory Limit
1929,D,No Time Limit,No Memory Limit
1929,C,No Time Limit,No Memory Limit
1929,B,No Time Limit,No Memory Limit
1929,A,No Time Limit,No Memory Limit
1928,F,No Time Limit,No Memory Limit
1928,E,No Time Limit,No Memory Limit
1928,D,No Time Limit,No Memory Limit
1928,C,No Time Limit,No Memory Limit
1928,B,No Time Limit,No Memory Limit
1928,A,No Time Limit,No Memory Limit
1927,G,No Time Limit,No Memory Limit
1927,F,No Time Limit,No Memory Limit
1927,E,No Time Limit,No Memory Limit
1927,D,No Time Limit,No Memory Limit
1927,C,No Time Limit,No Memory Limit
1927,B,No Time Limit,No Memory Limit
1927,A,No Time Limit,No Memory Limit
1926,G,No Time Limit,No Memory Limit
1926,F,No Time Limit,No Memory Limit
1926,E,No Time Limit,No Memory Limit
1926,D,No Time Limit,No Memory Limit
1926,C,No Time Limit,No Memory Limit
1926,B,No Time Limit,No Memory Limit
1926,A,No Time Limit,No Memory Limit
1925,D,No Time Limit,No Memory Limit
1925,B,No Time Limit,No Memory Limit
1925,A,No Time Limit,No Memory Limit
1924,F,No Time Limit,No Memory Limit
1924,E,No Time Limit,No Memory Limit
1924,D,No Time Limit,No Memory Limit
1924,C,No Time Limit,No Memory Limit
1924,B,No Time Limit,No Memory Limit
1924,A,No Time Limit,No Memory Limit
1923,F,No Time Limit,No Memory Limit
1923,E,No Time Limit,No Memory Limit
1923,D,No Time Limit,No Memory Limit
1923,C,No Time Limit,No Memory Limit
1923,B,No Time Limit,No Memory Limit
1923,A,No Time Limit,No Memory Limit
1922,F,No Time Limit,No Memory Limit
1922,E,No Time Limit,No Memory Limit
1922,D,No Time Limit,No Memory Limit
1922,C,No Time Limit,No Memory Limit
1922,B,No Time Limit,No Memory Limit
1922,A,No Time Limit,No Memory Limit
1921,G,No Time Limit,No Memory Limit
1921,F,No Time Limit,No Memory Limit
1921,E,No Time Limit,No Memory Limit
1921,D,No Time Limit,No Memory Limit
1921,C,No Time Limit,No Memory Limit
1921,B,No Time Limit,No Memory Limit
1921,A,No Time Limit,No Memory Limit
1920,F2,No Time Limit,No Memory Limit
1920,F1,No Time Limit,No Memory Limit
1920,E,No Time Limit,No Memory Limit
1920,D,No Time Limit,No Memory Limit
1920,C,No Time Limit,No Memory Limit
1920,B,No Time Limit,No Memory Limit
1920,A,No Time Limit,No Memory Limit
1919,H,No Time Limit,No Memory Limit
1919,G,No Time Limit,No Memory Limit
1919,F2,No Time Limit,No Memory Limit
1919,F1,No Time Limit,No Memory Limit
1919,E,No Time Limit,No Memory Limit
